EPAV,ISCN,PACC,PAGE,PAGI,PAWR,PBCV,PBKT,PBSG,PBSK,PCAR,PCMT,PCOL,PCON,PCSA,PCTH,PCYL,PDPI,PDRO,PDRR,PEGO,PELU,PEPS,PFMS,PFNA,PGHE,PGID,PHGT,PHSN,PHTN,PIMP,PINJ,PJEN,PJMP,PKAC,PKPR,PKRT,PLBD,PLBK,PLCI,PLCP,PLHT,PLHY,PLIB,PLJM,PLMC,PLMO,PLNA,PLPE,PLPL,PLPM,PLPO,PLPR,PLPU,PLRL,PLSA,PLSC,PLSM,PLTR,PLZC,PMRR,POID,POVR,PPBF,PPBK,PPBS,PPLA,PQBS,PRBF,PRBK,PRBS,PRSE,PSA0,PSA1,PSA2,PSB0,PSB1,PSBO,PSKI,PSPD,PSTA,PSTM,PSTN,PSTR,PSXP,PTAD,PTAK,PTAM,PTAS,PTEN,PTGH,PTHA,PTHP,PTOR,PTSA,PTUP,PVCO,PVSB,PVTS,PWGT,PYCF,PYRP,SRRN,TGID,TRBH,TRBR,TRCB,TRCL,TRDO,TRDS,TRFB,TRFK,TRFY,TRHM,TRJR,TRSB,TRSW,TRTA,TRTL,TRTS,TRWU,PLTY,PPOS,PYWT,PLDT,PCPH,PROL,PCBT,PSA3,PSB2,PSB3,PICN,PHAN,PSA4,PSB4,PSA5,PSA6,PSB5,PSB6,PSTY
3,1,83,34,80,64,71,61,25,73,59,4600,255,3,4000,57,3,7,2,10,92,73,SmithGeno_112,10,Geno,201,112,75,8,Miramar,10,87,7,81,15,20,15,21682,25,46,3,12,-31,35,64,18,1,Smith,15,100,10,99,18,30,30,56,48,66,35,25,20,112,70,20,24,20,86,34,15,20,15,11,50,800,3950,3950,1850,5800,1,85,93,20,30,58,6078,81,38,82,86,1,87,77,88,87,4800,81,3,5800,4800,61,50,12,30,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,94,24,83,58,82,76,26,29,76,5256,42,3,97,78,2,511,63,65,57,85,WeaverXavier_183,10,Xavier,128,183,73,8,Orlando,10,87,89,87,18,21,72,25788,20,75,0,30,-31,34,79,13,1,Weaver,13,100,10,99,16,32,66,60,77,68,50,17,66,183,66,14,23,10,27,0,24,38,17,1,55,97,108,26,0,26,1,91,83,27,0,56,10290,27,27,32,38,1,84,30,47,34,260,28,3,26,260,25,50,1,67,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,92,24,82,63,69,55,52,10,62,9138,141,1,23,57,1,511,63,19,48,84,CodringtonBrandon_196,26,Brandon,233,196,69,32,Raleigh,10,86,29,84,12,15,80,36156,23,54,0,68,-31,54,76,63,1,Codrington,67,100,36,99,64,74,15,35,56,64,32,66,22,196,65,35,35,35,6,0,35,35,35,3,23,0,0,0,0,0,1,89,84,15,0,61,10884,6,64,6,6,1,82,22,26,6,23,14,1,0,23,25,50,1,25,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,88,34,88,65,79,75,39,44,87,3818,212,0,375,80,0,29,1,71,81,81,PattersonCordarrelle_498,10,Cordarrelle,284,498,74,39,Rock Hill,10,90,84,87,20,20,99,35123,27,73,0,32,-31,47,78,20,1,Patterson,15,100,10,99,25,49,75,59,76,73,66,25,70,498,71,27,55,28,24,0,12,54,17,1,0,0,0,0,0,0,1,88,85,15,0,65,6017,37,48,47,51,1,84,53,60,51,0,34,0,0,0,60,50,12,74,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,87,33,88,92,87,82,35,22,73,64,29,1,527,87,1,14,3,79,71,86,AllenKeenan_505,10,Keenan,146,505,74,32,Greensboro,10,87,13,93,20,22,75,55732,42,90,5,15,-31,65,85,15,1,Allen,10,100,10,99,26,35,80,78,90,78,71,26,82,505,83,34,45,39,15,0,16,56,22,13,302,0,0,225,0,225,1,88,91,50,0,72,5654,34,34,33,36,1,93,28,54,31,302,36,1,225,302,51,50,12,85,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,86,33,87,68,89,81,45,22,72,2329,39,1,204,90,1,27,1,72,77,84,HopkinsDeAndre_506,32,DeAndre,290,506,73,39,Central,10,93,10,92,20,20,72,12980,29,90,0,35,-31,49,88,32,1,Hopkins,40,100,30,99,28,30,82,79,92,84,59,35,74,506,79,25,44,27,15,0,32,51,34,8,130,0,0,74,0,74,1,89,95,5,0,75,5873,10,52,10,15,1,97,30,35,15,130,23,1,74,130,52,50,12,75,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,86,33,84,76,80,77,40,22,75,5402,232,0,23,84,0,9,2,77,60,84,WoodsRobert_521,10,Robert,281,521,72,4,Gardena,10,89,16,89,22,25,78,20916,33,84,0,15,-31,53,85,18,1,Woods,40,100,10,99,22,41,77,57,85,77,53,21,77,521,74,29,45,30,15,0,30,56,33,3,0,0,0,0,0,0,1,89,91,38,0,63,6180,20,39,24,28,1,79,30,34,22,0,20,0,0,0,35,50,12,79,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,79,34,79,91,83,69,44,25,80,5532,201,1,625,81,1,3,2,62,35,70,ErtzZach_857,10,Zach,70,857,77,4,Orange,10,83,86,79,22,22,35,21810,59,87,2,12,-31,68,73,19,1,Ertz,10,100,10,99,17,36,79,73,86,72,69,18,66,857,78,57,62,61,6,0,55,55,52,12,559,0,0,66,0,66,1,82,89,30,0,74,5790,6,36,10,15,1,87,35,42,10,559,15,1,66,559,90,50,12,74,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,84,35,85,96,86,75,40,40,72,2579,37,2,1980,90,1,1,3,71,55,75,KelceTravis_890,20,Travis,71,890,77,34,Cleveland,10,97,87,89,32,35,6,11441,59,86,5,15,-31,70,78,12,1,Kelce,10,100,20,99,15,42,77,84,91,69,77,14,76,890,90,61,63,62,29,0,63,65,62,12,575,450,0,1380,1530,2910,1,82,96,10,0,79,5920,49,45,53,64,1,94,52,70,47,1025,33,2,2910,1025,90,50,12,83,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,4,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,78,35,75,99,60,30,56,39,67,2506,158,4,1841,64,4,4,1,25,15,58,JohnsonLane_927,60,Lane,53,927,78,42,Groveton,10,84,65,82,22,25,10,16946,96,58,4,60,-31,95,54,12,1,Johnson,10,100,53,99,29,55,45,55,57,50,65,20,33,927,99,94,98,98,39,1,96,97,98,1,50,2027,2107,1791,376,2543,2,77,88,1,0,93,5902,50,60,54,59,1,91,56,65,52,6305,41,4,2543,6305,165,50,12,46,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,9,10,0,1,2,3,2121,376,0,0,0,0,0,0,0,0,0,0
